Player Name,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Opposition Team
A Athanaze,3,3,0,60,32,20,77,77.92,0,0,0,6,1,India
A Athanaze,1,1,0,0,0,0,1,0,0,0,1,0,0,Zimbabwe
A Athanaze,1,1,0,4,4,4,2,200,0,0,0,1,0,West Indies
A Bagai,1,1,0,10,10,10,24,41.66,0,0,0,0,0,Scotland
A Bagai,1,1,0,16,16,16,35,45.71,0,0,0,2,0,Pakistan
A Bagai,1,1,0,22,22,22,47,46.8,0,0,0,2,0,Sri Lanka
A Bagai,1,1,0,39,39,39,55,70.9,0,0,0,6,0,Australia
A Bagai,3,2,0,74,71,37,148,50,0,1,0,7,0,Netherlands
A Bagai,1,1,0,84,84,84,87,96.55,0,1,0,10,0,New Zealand
A Bagai,3,3,0,129,64,43,178,72.47,0,1,0,14,0,Ireland
A Bagai,3,3,2,164,64*,164,237,69.19,0,2,0,18,1,Kenya
A Bagai,3,3,1,225,91*,112.5,280,80.35,0,3,0,16,0,Afghanistan
A Balbirnie,1,1,0,1,1,1,5,20,0,0,0,0,0,Nepal
A Balbirnie,1,1,0,7,7,7,19,36.84,0,0,0,0,0,Oman
A Balbirnie,1,1,0,7,7,7,25,28,0,0,0,0,0,P.N.G.
A Balbirnie,1,1,0,12,12,12,12,100,0,0,0,1,0,Australia
A Balbirnie,1,1,0,12,12,12,13,92.3,0,0,0,2,0,Sri Lanka
A Balbirnie,1,1,0,17,17,17,31,54.83,0,0,0,1,0,Canada
A Balbirnie,1,1,0,18,18,18,36,50,0,0,0,0,0,Pakistan
A Balbirnie,1,1,0,24,24,24,24,100,0,0,0,3,0,India
A Balbirnie,1,1,1,45,45*,-,58,77.58,0,0,0,5,0,U.S.A.
A Balbirnie,5,5,0,47,36,9.4,82,57.31,0,0,2,6,0,New Zealand
A Balbirnie,4,4,1,85,63*,28.33,183,46.44,0,1,0,8,0,Netherlands
A Balbirnie,9,7,0,143,53,20.42,218,65.59,0,1,0,17,1,Bangladesh
A Balbirnie,4,4,0,232,102,58,281,82.56,1,2,0,24,2,South Africa
A Balbirnie,11,10,0,306,105,30.6,453,67.54,1,1,1,33,1,Scotland
A Balbirnie,9,9,1,323,102,40.37,396,81.56,1,3,1,32,2,U.A.E.
A Balbirnie,8,8,0,350,135,43.75,406,86.2,1,2,0,33,9,West Indies
A Balbirnie,12,12,1,462,121*,42,552,83.69,2,1,0,42,10,Zimbabwe
A Balbirnie,23,22,3,619,145*,32.57,828,74.75,1,4,2,55,9,Afghanistan
A Bohara,1,1,1,5,5*,-,6,83.33,0,0,0,0,0,U.S.A.
A Bohara,1,1,1,8,8*,-,8,100,0,0,0,0,0,Oman
A Dananjaya,1,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand
A Dananjaya,1,1,0,2,2,2,10,20,0,0,0,0,0,Afghanistan
A Dananjaya,4,2,0,15,8,7.5,39,38.46,0,0,0,0,0,Zimbabwe
A Dananjaya,5,3,0,31,17,10.33,34,91.17,0,0,1,4,1,Bangladesh
A Dananjaya,8,7,2,43,11*,8.6,68,63.23,0,0,0,5,0,India
A Dananjaya,5,3,2,57,32*,57,41,139.02,0,0,0,4,2,England
A Dananjaya,4,4,1,70,50*,23.33,113,61.94,0,1,0,6,0,Pakistan
A Dananjaya,11,10,1,73,37,8.11,112,65.17,0,0,2,6,0,South Africa
A Dutt,1,-,-,-,-,-,-,-,-,-,-,-,-,Nepal
A Dutt,1,-,-,-,-,-,-,-,-,-,-,-,-,Oman
A Dutt,1,-,-,-,-,-,-,-,-,-,-,-,-,U.S.A.
A Dutt,3,2,0,0,0,0,8,0,0,0,2,0,0,England
A Dutt,1,1,0,1,1,1,8,12.5,0,0,0,0,0,Australia
A Dutt,1,1,0,4,4,4,8,50,0,0,0,0,0,Afghanistan
A Dutt,1,1,0,9,9,9,6,150,0,0,0,0,1,Bangladesh
A Dutt,3,2,1,9,8*,9,20,45,0,0,0,0,0,Scotland
A Dutt,4,4,1,13,6*,4.33,18,72.22,0,0,0,2,0,Pakistan
